Y,X,Sampling year,Reference,Study,Time,PO4 mg/l,PO4_sd,NO2 mg/l,NO2_sd,COD mg/l,COD_sd,BOD mg/l,BOD_sd,DO mg/l,DO_sd,pH,pH_sd,TDS mg/l,TDS_sd,Temp,Temp_sd,TKN,TKN_sd,NO3-N,NO3_sd,EC,EC_sd,NO3 mg/l,Na mg/l,K mg/l,Ca mg/l,Mg mg/l,HCO3 mg/l,Cl mg/l,SO4 mg/l,SiO2 mg/l,Cr µg/l,Cr_sd,Mn  µg/l,Mn_sd,Ni  µg/l,Ni_sd,Zn µg/l,Zn_sd,As µg/l,Pb  µg/l,Pb_sd,Cd  µg/l,Cd_sd,Co  µg/l,Co_sd,Cu  µg/l,Cu_sd,NH3 mg/l,Cd mg/kg,Cd_sd mg/kg,Cr mg/kg,Cr_sd mg/kg,Cu mg/kg,Cu_sd mg/kg,Fe mg/kg,Fe_sd mg/kg,Pb mg/kg,Pb_mg/kg,Mn mg/kg,Mn_sd mg/kg,Ni mg/kg,Ni_sd mg/kg,Zn mg/kg,Zn_sd mg/kg
38.720744,9.0509517,2020,An_M01,Angello2020,Yearly,5.5,1.3,0.06,0.02,1146,106,101.2,80.9,1.53,0.3,7.2,0.08,502,74,12.8,0.5,28.2,4.8,0.35,0.09,1022,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7177679,9.0419605,2020,An_M02,Angello2020,Yearly,4.5,0.03,0.07,0.03,912,308,110.8,30.5,3.2,0.44,7.2,0.02,440.8,39.5,12.9,0.4,40.8,6.2,0.23,0.17,899.8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7277552,9.0140997,2020,An_M03,Angello2020,Yearly,3.02,2,0.08,0.004,1477,250,582.3,10.3,0.25,0.02,5.6,0.5,699.75,93,18.7,0.22,61.6,16.4,0.74,0.5,1415,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7382866,8.9977386,2020,An_M04,Angello2020,Yearly,5.2,0.23,0.11,0.01,1936,357,316.4,98.1,0.12,0.01,7.2,0.07,638.2,52.4,19.8,0.06,42.2,3.9,0.92,0.23,1293.3,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7468525,8.9879809,2020,An_M05,Angello2020,Yearly,7.8,1.62,0.11,0.02,1442,355,389.2,35.9,0.11,0.01,7.2,0.2,724.2,38.8,19.7,0.08,44.6,2.4,0.72,0.22,1464,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7019785,9.0341714,2020,An_M06,Angello2020,Yearly,5.5,0.6,0.06,0.02,1269,409,481,104,2.06,0.53,6.9,0.24,481.8,31.3,16.2,0.21,84.1,12.1,0.4,0.12,984,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7095653,8.9893902,2020,An_M07,Angello2020,Yearly,3.96,1,0.03,0.02,771,344,180.4,104,4.8,0.84,7.5,0.4,514.5,80.7,15.8,0.13,40.6,5.4,0.37,0.06,1046.8,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7168318,8.9856582,2020,An_M08,Angello2020,Yearly,1.2,0.1,0.01,0.001,1078,403,139.2,10.1,2.9,0.43,6.8,0.06,634.5,117,21.1,0.77,27.6,1.6,1.8,0.43,1286,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7347465,8.9657244,2020,An_M09,Angello2020,Yearly,3.9,0.2,0.04,0.02,1467,554,284.8,98.8,0.14,0.03,6.9,0.08,677.8,84.2,20.7,1.02,43.8,1.4,0.94,0.33,1380,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7499287,8.9593517,2020,An_M10,Angello2020,Yearly,4.99,0.7,0.07,0.01,1112,515,161.4,71,0.36,0.02,7.2,0.2,641.5,51.4,19.2,0.42,55.4,13.5,1.33,0.68,1300.3,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
