Code,Indicator,Dimension,SDG,Water Security UN (Mason2012),Water Security UN Aspirational (Mason2012),Aqueduct Global Maps 3.0,ADB Water Security Index,Gain Giupponi 2016,Vorosmarty 2010,Lautze Manthrithilake,Weight,Position,
1,Proportion of population using safely managed drinking water services,Drinking water,1,1,1,1,1,1,0,1,0.875,IP,
2,Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,Sanitation,1,1,1,1,1,1,0,0,0.75,IP,
16,total withdrawals /TARWR,Demand,0,1,1,1,0,1,1,0,0.625,NI,
3,Proportion of domestic and industrial wastewater flows safely treated,Quality,1,0,1,1,1,0,0,0,0.5,IN,
8,Proportion of transboundary basin area with an operational arrangement for water cooperation,Management,1,1,1,0,0,0,0,0,0.375,GN,
11,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Management,1,1,1,0,0,0,0,0,0.375,GN,
14,TARWR/population (FAO AQUASTAT),Demand,0,1,1,0,0,0,0,1,0.375,NI,
19,"Dam storage capacity / population*100,000",Demand,0,1,1,0,0,0,0,0,0.25,I,
54,"River water health index, water resource development: dam density",Ecosystems,0,0,0,0,1,0,1,0,0.25,IN,
55,"River water health index, water resource development: river fragmentation",Ecosystems,0,0,0,0,1,0,1,0,0.25,IN,
62,"River water health index, biotic factor: aquaculture",Efficiency / Value,0,0,0,0,1,0,1,0,0.25,IN,
15,TARWR/HDI (FAO AQUASTAT),Demand,0,1,1,0,0,0,0,0,0.25,IN,
31,Geospatial estimate on river fragmentation,Ecosystems,0,1,1,0,0,0,0,0,0.25,IN,
23,Value added (value of output less value of immediate consumption) by agriculture/ agricultural water withdrawals; AQUASTAT,Efficiency / Value,0,1,1,0,0,0,0,0,0.25,IN,
24,Value added by industry/ industrial water withdrawals ,Efficiency / Value,0,1,1,0,0,0,0,0,0.25,IN,
25,Aquaculture production/ population; tonnes per capita,Efficiency / Value,0,1,1,0,0,0,0,0,0.25,IN,
9,Change in the extent of water-related ecosystems over time,Ecosystems,1,0,1,0,0,0,0,0,0.25,N,
4,Proportion of bodies of water with good ambient water quality,Quality,1,0,0,0,1,0,0,0,0.25,N,
49,"River water health index, watershed disturbace: cropland",Ecosystems,0,0,0,0,1,0,1,0,0.25,N,
50,"River water health index, watershed disturbace: imperviousness",Ecosystems,0,0,0,0,1,0,1,0,0.25,N,
51,"River water health index, watershed disturbace: livestock density",Ecosystems,0,0,0,0,1,0,1,0,0.25,N,
52,"River water health index, watershed disturbace: wetland disconnection",Ecosystems,0,0,0,0,1,0,1,0,0.25,N,
59,"River water health index, biotic factor: nonnative species",Ecosystems,0,0,0,0,1,0,1,0,0.25,N,
60,"River water health index, biotic factor: nonnative species richness",Ecosystems,0,0,0,0,1,0,1,0,0.25,N,
53,"River water health index, pollution (different parameters)",Quality,0,0,0,0,1,0,1,0,0.25,N,
35,Groundwater table decline measures the average decline of the groundwater table as the average change for the period of study (1990–2014),Demand,0,0,0,1,0,1,0,0,0.25,N,
6, Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Demand,1,0,0,1,0,0,0,0,0.25,NI,
56,"River water health index, water resource development: relative water consumption compared to supply",Demand,0,0,0,0,1,0,1,0,0.25,NI,
57,"River water health index, water resource development: agriculture sector water stress",Demand,0,0,0,0,1,0,1,0,0.25,NI,
13,"Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",Damages,1,0,0,0,1,0,0,0,0.25,NP,
20,"Flood mortality risk :Risk calculated as function of hazards (GIS data), vulnerability (statistical analysis of historical events), and modelled population exposure;",Damages,0,1,1,0,0,0,0,0,0.25,NP,
61,"River water health index, biotic factor: catch pressure",Ecosystems,0,0,0,0,1,0,1,0,0.25,PN,
21,Rainfall variability: Coefficient of variability for CMI (StdDev(CMI)/Mean(CMI); unitless,Climate,0,0,1,0,0,0,0,0,0.125,CC,
22,"Climate variability:Risk index based on topographical variability, water resources, water access, water utilisation, human and institutional capacity",Climate,0,0,1,0,0,0,0,0,0.125,CC,
33,"Interannual, or between year, variability is defined as the coefficient of variation (CV) of available water for each sub-basin. ",Climate,0,0,0,1,0,0,0,0,0.125,CC,
34,"Seasonal variability measures the average within-year
variability of available water supply, including both
renewable surface and groundwater supplies. ",Climate,0,0,0,1,0,0,0,0,0.125,CC,
70,World Governance Index (Kaufmann etal 2010),Management,0,0,0,0,0,1,0,0,0.125,G,
71,Transboundary legal framework (Source: http://twap-rivers.org/indicators/),Management,0,0,0,0,0,1,0,0,0.125,G,
32,Percentage of key water indicators reliably tracked by national government; percentage,Management,0,0,1,0,0,0,0,0,0.125,GI,
7,Degree of integrated water resources management,Management,1,0,0,0,0,0,0,0,0.125,GN,
63,"exposure (e.g., population density, growth rate)",Socio-economic,0,0,0,0,1,0,0,0,0.125,GU,
43,resilience (percentage of renewable water resources stored in large dams),Resilience,0,0,0,0,1,0,0,0,0.125,I,
75,"Risk Management measures the extent
to which countries are buffered from the effects of rainfall variability through large dam storage",Resilience,0,0,0,0,0,0,0,1,0.125,I,
76,Independence measures the extent to which countries water and food supplies are safe and secure from external changes or shocks,Resilience,0,0,0,0,0,0,0,1,0.125,I,
17,dynamic TARWR/population,Demand,0,0,1,0,0,0,0,0,0.125,IN,
28,Aggregate upstream water demand/total water supply,Demand,0,0,1,0,0,0,0,0,0.125,IN,
29,"Water withdrawals/ available water, adjusted for estimated Environmental Water Requirement; GWSP",Demand,0,0,1,0,0,0,0,0,0.125,IN,
45,Consumption rate (net virtual water consumed relative to water with- drawn for industry),Demand,0,0,0,0,1,0,0,0,0.125,IN,
74,"Percentage of Renewable Water Resources (RWR) available in excess of environmental water
requirement (EWR). That is, [RWR - (environmental water requirement + withdrawn water)]/RWR",Demand,0,0,0,0,0,0,0,1,0.125,IN,
58,"River water health index, water resource development: residency time change downstream from dams",Ecosystems,0,0,0,0,1,0,0,0,0.125,IN,
48,Water supply (%),Demand,0,0,0,0,1,0,0,0,0.125,IP,
5, Change in water-use efficiency over time,Efficiency / Value,1,0,0,0,0,0,0,0,0.125,IR,
39,"The Peak RepRisk country ESG risk index quantifies
business conduct risk exposure related to environmental,
social, and governance (ESG) issues in the corresponding
country. ",Efficiency / Value,0,0,0,1,0,0,0,0,0.125,IR,
41,Productivity of irrigated agriculture,Efficiency / Value,0,0,0,0,1,0,0,0,0.125,IR,
44,Productivity (financial value of industrial goods relative to industrial water withdrawal),Efficiency / Value,0,0,0,0,1,0,0,0,0.125,IR,
46,Utilization of total hydropower capacity,Efficiency / Value,0,0,0,0,1,0,0,0,0.125,IR,
47,ratio of hydropower to total energy supply,Efficiency / Value,0,0,0,0,1,0,0,0,0.125,IR,
18,Geospatially derived water withdrawals/ dynamic TARWR; unitless,Demand,0,0,1,0,0,0,0,0,0.125,lIN,
67,"Drought Index is calculated usingPCR-GLOBWB. The values with
higher DI lead to decrease water security. (Source: Wada 2012)",Climate,0,0,0,0,0,1,0,0,0.125,N,
27,Annual change in freshwater species;,Ecosystems,0,1,0,0,0,0,0,0,0.125,N,
30,Change in chlorophyll/ turbidity/ suspended solids (MODIS),Quality,0,0,1,0,0,0,0,0,0.125,N,
38,"Coastal eutrophication potential (CEP) measures the
potential for riverine loadings of nitrogen (N), phosphorus (P), and silica (Si) to stimulate harmful algal blooms
in coastal waters.",Quality,0,0,0,1,0,0,0,0,0.125,N,
68,Water quality index Srebotnjak etal 2012),Quality,0,0,0,0,0,1,0,0,0.125,N,
12,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Damages,1,0,0,0,0,0,0,0,0.125,NP,
36,"Riverine flood risk measures the percentage of population expected to be affected by riverine flooding in an average year, accounting for existing flood-protection standards (frequencies above 10% are considered)",Damages,0,0,0,1,0,0,0,0,0.125,NP,
37,"Coastal flood risk measures the percentage of the population expected to be affected by coastal flooding in an average year, accounting for existing flood protection standards.",Damages,0,0,0,1,0,0,0,0,0.125,NP,
69,Flood frequencyindex Source:Center forHetal 2005,Damages,0,0,0,0,0,1,0,0,0.125,NP,
26,"Various e.g. dependence on virtual water imports; national blue, green and grey water footprints of consumption AND/ OR consumption;",Demand,0,0,1,0,0,0,0,0,0.125,NR,R?
40,"hygiene (age-standardized disability-adjusted life years per 100,000 people for the incidence of diarrhea)",Sanitation,0,0,0,0,1,0,0,0,0.125,P,
64,"basic population vulnerability (e.g., poverty rate, land use);",Socio-economic,0,0,0,0,1,0,0,0,0.125,P,
66,"soft coping capacities (e.g., literacy rate).",Socio-economic,0,0,0,0,1,0,0,0,0.125,P,
72,Transboundary political tensions : http://twap-rivers.org/ indicators/),Management,0,0,0,0,0,1,0,0,0.125,PL,
42,Independence from imported water and goods,Resilience,0,0,0,0,1,0,0,0,0.125,R,
65,"hard coping capacities (e.g., telecommunications development); and",Socio-economic,0,0,0,0,1,0,0,0,0.125,R,
10,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Finance,1,0,0,0,0,0,0,0,0.125,RI,
73,Water Resource development : flow disruption,Ecosystems,0,0,0,0,0,0,0,0,0,IN,
